Patient,patient1@gmail.com,Grant,Larsen,pass1234,Rochester Memorial,doctor1@gmail.com,K283848192834,05/23/1997,TRUE,
Patient,patient2@gmail.com,Ayana,Adylova,pass1234,Gotham General,doctor1@gmail.com,K283848192835,05/24/1997,TRUE,
Patient,patient3@gmail.com,Jon,Foley,pass1234,Rochester Memorial,doctor2@gmail.com,K283848192836,05/25/1997,TRUE,
Patient,patient4@gmail.com,Matt,Gibson,pass1234,Gotham General,doctor2@gmail.com,K283848192837,05/26/1997,TRUE,
Patient,patient5@gmail.com,Kenn,Martinez,pass1234,Gotham General,doctor3@gmail.com,K283848192838,06/13/1992,TRUE,
Patient,patient6@gmail.com,Colin,Reilly,pass1234,Gotham General,doctor7@gmail.com,K283848192839,08/04/1994,TRUE,
Patient,patient7@gmail.com,Mitesh,Parmar,pass1234,Monroe Community Hospital,doctor4@gmail.com,K283848192840,09/30/1993,TRUE,
Patient,patient8@gmail.com,Shane,Leary,pass1234,Gotham General,doctor4@gmail.com,K283848192841,12/25/1985,TRUE,
Patient,patient9@gmail.com,Erik,Wilson,pass1234,Highland Hospital,doctor5@gmail.com,K283848192842,01/02/1994,TRUE,
Patient,patient10@gmail.com,Harshvardhan,Gupta,pass1234,Monroe Community Hospital,doctor6@gmail.com,K283848192843,3/16/1996,TRUE,
Patient,patient11@gmail.com,Shannon,McIntosh,pass1234,Highland Hospital,doctor3@gmail.com,K283848192844,06/15/1995,TRUE,
Doctor,doctor1@gmail.com,Sterling,Archer,pass1234,Rochester Memorial;Gotham General,5,nurse1@gmail.com;nurse2@gmail.com;nurse3@gmail.com,TRUE,,
Doctor,doctor2@gmail.com,Mallory,Archer,pass1234,Rochester Memorial;Gotham General,5,nurse2@gmail.com;nurse3@gmail.com,TRUE,,
Doctor,doctor3@gmail.com,Pam,Hoovey,pass1234,Rochester Memorial;Highland Hospital,3,nurse5@gmail.com,TRUE,,
Doctor,doctor4@gmail.com,Lana,Kane,pass1234,Gotham General;Monroe Community Hospital,12,nurse4@gmail.com;nurse6@gmail.com,TRUE,,
Doctor,doctor5@gmail.com,Cyril,Figgis,pass1234,Monroe Community Hospital;Highland Hospital,6,nurse4@gmail.com;nurse5@gmail.com,TRUE,,
Doctor,doctor6@gmail.com,Cheryl,Tunt,pass1234,Rochester Memorial;Monroe Community Hospital,8,nurse1@gmail.com;nurse4@gmail.com,TRUE,,
Doctor,doctor7@gmail.com,Algernop,Krieger,pass1234,Gotham General,3,nurse2@gmail.com;nurse6@gmail.com,TRUE,,
Hospital Admin,hadmin1@gmail.com,Todd,Chavez,pass1234,Rochester Memorial,TRUE,,,,
Hospital Admin,hadmin2@gmail.com,Diane,Nyugen,pass1234,Gotham General,TRUE,,,,
Hospital Admin,hadmin3@gmail.com,Neal,McBeal,pass1234,Monroe Community Hospital,TRUE,,,,
Hospital Admin,hadmin4@gmail.com,Bojack,Horseman,pass1234,Highland Hospital,TRUE,,,,
Nurse,nurse1@gmail.com,Corrado,Bello,pass1234,Rochester Memorial,doctor1@gmail.com;doctor6@gmail.com,TRUE,,,
Nurse,nurse2@gmail.com,Dylan,Lobbregt,pass1234,Gotham General,doctor1@gmail.com;doctor2@gmail.com;doctor7@gmail.com,TRUE,,,
Nurse,nurse3@gmail.com,Nick,Paolella,pass1234,Rochester Memorial,doctor1@gmail.com;doctor2@gmail.com,TRUE,,,
Nurse,nurse4@gmail.com,Dan,Schaefer,pass1234,Monroe Community Hospital,doctor4@gmail.com;doctor5@gmail.com;doctor6@gmail.com,TRUE,,,
Nurse,nurse5@gmail.com,Kaylee,Gallagher,pass1234,Highland Hospital,doctor3@gmail.com;doctor5@gmail.com,TRUE,,,
Nurse,nurse6@gmail.com,Dyllinger,Hines,pass1234,Gotham General,doctor4@gmail.com;doctor7@gmail.com,TRUE,,,
Hospital,Rochester Memorial,123 Main Street Rochester NY,5853931818,,,,,,,
Hospital,Gotham General,124 Main Street Rochester NY,5853931819,,,,,,,
Hospital,Monroe Community Hospital,125 Main Street Rochester NY,5853931820,,,,,,,
Hospital,Highland Hospital,126 Main Street Rochester NY,5853931821,,,,,,,
Prescription,CBD,Take once per day before bed,500mcg,10,doctor1@gmail.com,04/21/2017,patient1@gmail.com,2,7,FALSE
Prescription,Percocet,Take every 4-6 hours as needed,25mg,20,doctor1@gmail.com,05/01/2017,patient1@gmail.com,2,7,TRUE
Prescription,Tylenol,Take twice per day,30mg,20,doctor1@gmail.com,05/02/2017,patient1@gmail.com,4,7,TRUE
Prescription,Ibuprofen,Take after every meal,50mg,25,doctor2@gmail.com,05/03/2017,patient3@gmail.com,3,7,TRUE
Prescription,Aceteminophen,Take once every other day,25mcg,10,doctor1@gmail.com,05/04/2017,patient2@gmail.com,3,7,FALSE
Event,doctor1@gmail.com,patient1@gmail.com,Pathology Appointment,05/08/2017,12:00,12:30,,,,
Event,doctor1@gmail.com,!,Racketball,05/08/2017,10:00,12:00,,,,
Event,doctor1@gmail.com,patient1@gmail.com,Blood Test,05/21/2017,9:00,9:30,,,,
Event,doctor1@gmail.com,patient2@gmail.com,Pathology,05/08/2017,13:00,13:30,,,,
Event,doctor1@gmail.com,patient2@gmail.com,Physical,05/21/2017,9:30,10:00,,,,
Event,doctor1@gmail.com,!,Racketball,05/15/2017,10:00,12:00,,,,
